action	old_reference	source	new_reference	note
local_archive_image	/squarespace_images/content_v1_4fffa949e4b0b4590d67b4e7_00c82f59-57b9-4276-b0ce-a2797545ba97_transformative_principal_book_study_logo_banner.png_	/Users/jethrojones/jethro/to add to jethro site/squarespace_images/content_v1_4fffa949e4b0b4590d67b4e7_00c82f59-57b9-4276-b0ce-a2797545ba97_transformative_principal_book_study_logo_banner.png	/assets/squarespace/content_v1_4fffa949e4b0b4590d67b4e7_00c82f59-57b9-4276-b0ce-a2797545ba97_transformative_principal_book_study_logo_banner.png	optimized 128319->128319 resize_intermediate=128319
local_archive_image	/squarespace_images/content_v1_4fffa949e4b0b4590d67b4e7_1345046640108-H6X6M21HNTG1AZFLT0ID_file_	/Users/jethrojones/jethro/to add to jethro site/squarespace_images/content_v1_4fffa949e4b0b4590d67b4e7_1345046640108-H6X6M21HNTG1AZFLT0ID_file_	/assets/squarespace/content_v1_4fffa949e4b0b4590d67b4e7_1345046640108-H6X6M21HNTG1AZFLT0ID_file.jpg	optimized 44649->42883 resize_intermediate=44649
local_archive_image	/squarespace_images/content_v1_4fffa949e4b0b4590d67b4e7_1347429186594-DXX5DN9CA7JNNAAJCPBY_00000097.png_	/Users/jethrojones/jethro/to add to jethro site/squarespace_images/content_v1_4fffa949e4b0b4590d67b4e7_1347429186594-DXX5DN9CA7JNNAAJCPBY_00000097.png	/assets/squarespace/content_v1_4fffa949e4b0b4590d67b4e7_1347429186594-DXX5DN9CA7JNNAAJCPBY_00000097.png	optimized 123594->121050 resize_intermediate=123594
local_archive_image	/squarespace_images/content_v1_4fffa949e4b0b4590d67b4e7_1347429225174-J6WBDUM2FDL2SF9NVO00_school-bus-image.png_	/Users/jethrojones/jethro/to add to jethro site/squarespace_images/content_v1_4fffa949e4b0b4590d67b4e7_1347429225174-J6WBDUM2FDL2SF9NVO00_school-bus-image.png	/assets/squarespace/content_v1_4fffa949e4b0b4590d67b4e7_1347429225174-J6WBDUM2FDL2SF9NVO00_school-bus-image.png	optimized 4558->4558 resize_intermediate=4558
local_archive_image	/squarespace_images/content_v1_4fffa949e4b0b4590d67b4e7_1348372483668-Y1C50UFI5BC2F3FEDU4W_keyword+up.png_	/Users/jethrojones/jethro/to add to jethro site/squarespace_images/content_v1_4fffa949e4b0b4590d67b4e7_1348372483668-Y1C50UFI5BC2F3FEDU4W_keyword+up.png	/assets/squarespace/content_v1_4fffa949e4b0b4590d67b4e7_1348372483668-Y1C50UFI5BC2F3FEDU4W_keyword+up.png	optimized 94874->92330 resize_intermediate=94874
local_archive_image	/squarespace_images/content_v1_4fffa949e4b0b4590d67b4e7_1348372638315-0UMON75F0Q0N3CK3ZO7S_Keyword+down.png_	/Users/jethrojones/jethro/to add to jethro site/squarespace_images/content_v1_4fffa949e4b0b4590d67b4e7_1348372638315-0UMON75F0Q0N3CK3ZO7S_Keyword+down.png	/assets/squarespace/content_v1_4fffa949e4b0b4590d67b4e7_1348372638315-0UMON75F0Q0N3CK3ZO7S_Keyword+down.png	optimized 94886->92342 resize_intermediate=94886
local_archive_image	/squarespace_images/content_v1_4fffa949e4b0b4590d67b4e7_1357802765103-IXM0MIVD2M9TOIMD5BMF_Paperless+Pricnipal+Cover.png_	/Users/jethrojones/jethro/to add to jethro site/squarespace_images/content_v1_4fffa949e4b0b4590d67b4e7_1357802765103-IXM0MIVD2M9TOIMD5BMF_Paperless+Pricnipal+Cover.png	/assets/squarespace/content_v1_4fffa949e4b0b4590d67b4e7_1357802765103-IXM0MIVD2M9TOIMD5BMF_Paperless+Pricnipal+Cover.png	optimized 842081->842081 resize_intermediate=842081
local_archive_image	/squarespace_images/content_v1_4fffa949e4b0b4590d67b4e7_1357802869712-ST2UABXKFHXWCKGZ80KI_iBookstore_Badge.gif_	/Users/jethrojones/jethro/to add to jethro site/squarespace_images/content_v1_4fffa949e4b0b4590d67b4e7_1357802869712-ST2UABXKFHXWCKGZ80KI_iBookstore_Badge.gif	/assets/squarespace/content_v1_4fffa949e4b0b4590d67b4e7_1357802869712-ST2UABXKFHXWCKGZ80KI_iBookstore_Badge.gif	unchanged-gif
local_archive_image	/squarespace_images/content_v1_4fffa949e4b0b4590d67b4e7_1378330212694-7KHHIRQ9ZKHVJLYQ6X4Y_Screen+Shot+2013-09-04+at+3.09.00+PM.png_	/Users/jethrojones/jethro/to add to jethro site/squarespace_images/content_v1_4fffa949e4b0b4590d67b4e7_1378330212694-7KHHIRQ9ZKHVJLYQ6X4Y_Screen+Shot+2013-09-04+at+3.09.00+PM.png	/assets/squarespace/content_v1_4fffa949e4b0b4590d67b4e7_1378330212694-7KHHIRQ9ZKHVJLYQ6X4Y_Screen+Shot+2013-09-04+at+3.09.00+PM.png	optimized 62105->62105 resize_intermediate=62105
local_archive_image	/squarespace_images/content_v1_4fffa949e4b0b4590d67b4e7_1378330892417-GM0RFSXGN6L6IHFAKNL4_Hazel+rule_	/Users/jethrojones/jethro/to add to jethro site/squarespace_images/content_v1_4fffa949e4b0b4590d67b4e7_1378330892417-GM0RFSXGN6L6IHFAKNL4_Hazel+rule_	/assets/squarespace/content_v1_4fffa949e4b0b4590d67b4e7_1378330892417-GM0RFSXGN6L6IHFAKNL4_Hazel+rule.png	optimized 69882->69882 resize_intermediate=69882
local_archive_image	/squarespace_images/content_v1_4fffa949e4b0b4590d67b4e7_1378331780533-A1XNE1SUVXEK2O1STUYK_printinstagram.png_	/Users/jethrojones/jethro/to add to jethro site/squarespace_images/content_v1_4fffa949e4b0b4590d67b4e7_1378331780533-A1XNE1SUVXEK2O1STUYK_printinstagram.png	/assets/squarespace/content_v1_4fffa949e4b0b4590d67b4e7_1378331780533-A1XNE1SUVXEK2O1STUYK_printinstagram.png	optimized 77168->74624 resize_intermediate=77168
local_archive_image	/squarespace_images/content_v1_4fffa949e4b0b4590d67b4e7_1384299833465-4D34OJXDG1096V04TJLD_2013-11-12+15.56.13.png_	/Users/jethrojones/jethro/to add to jethro site/squarespace_images/content_v1_4fffa949e4b0b4590d67b4e7_1384299833465-4D34OJXDG1096V04TJLD_2013-11-12+15.56.13.png	/assets/squarespace/content_v1_4fffa949e4b0b4590d67b4e7_1384299833465-4D34OJXDG1096V04TJLD_2013-11-12+15.56.13.png	optimized 3725196->4102360 resize_intermediate=4102360
local_archive_image	/squarespace_images/content_v1_4fffa949e4b0b4590d67b4e7_1384299879886-0WVS0K5S7BP0HITT8LA9_2013-11-12+15.56.19.png_	/Users/jethrojones/jethro/to add to jethro site/squarespace_images/content_v1_4fffa949e4b0b4590d67b4e7_1384299879886-0WVS0K5S7BP0HITT8LA9_2013-11-12+15.56.19.png	/assets/squarespace/content_v1_4fffa949e4b0b4590d67b4e7_1384299879886-0WVS0K5S7BP0HITT8LA9_2013-11-12+15.56.19.png	optimized 1990859->2547225 resize_intermediate=2547225
local_archive_image	/squarespace_images/content_v1_4fffa949e4b0b4590d67b4e7_1387317948140-LUD12G3CKL689X3OD79L_2013-12-16+17.02.07.jpg_	/Users/jethrojones/jethro/to add to jethro site/squarespace_images/content_v1_4fffa949e4b0b4590d67b4e7_1387317948140-LUD12G3CKL689X3OD79L_2013-12-16+17.02.07.jpg	/assets/squarespace/content_v1_4fffa949e4b0b4590d67b4e7_1387317948140-LUD12G3CKL689X3OD79L_2013-12-16+17.02.07.jpg	optimized 896625->437231 resize_intermediate=437231
local_archive_image	/squarespace_images/content_v1_4fffa949e4b0b4590d67b4e7_1387317989812-W5TJ46RTLDQVI92R7RWZ_2013-12-16+17.02.19.jpg_	/Users/jethrojones/jethro/to add to jethro site/squarespace_images/content_v1_4fffa949e4b0b4590d67b4e7_1387317989812-W5TJ46RTLDQVI92R7RWZ_2013-12-16+17.02.19.jpg	/assets/squarespace/content_v1_4fffa949e4b0b4590d67b4e7_1387317989812-W5TJ46RTLDQVI92R7RWZ_2013-12-16+17.02.19.jpg	optimized 1076345->531790 resize_intermediate=531790
local_archive_image	/squarespace_images/content_v1_4fffa949e4b0b4590d67b4e7_1387434883631-1T206QV48N0YX4Q80K6Y_image.jpg_	/Users/jethrojones/jethro/to add to jethro site/squarespace_images/content_v1_4fffa949e4b0b4590d67b4e7_1387434883631-1T206QV48N0YX4Q80K6Y_image.jpg	/assets/squarespace/content_v1_4fffa949e4b0b4590d67b4e7_1387434883631-1T206QV48N0YX4Q80K6Y_image.jpg	optimized 1040942->504525 resize_intermediate=504525
local_archive_image	/squarespace_images/content_v1_4fffa949e4b0b4590d67b4e7_1387434907529-DTU1MQYFFDG8BBNSHQV4_image.jpg_	/Users/jethrojones/jethro/to add to jethro site/squarespace_images/content_v1_4fffa949e4b0b4590d67b4e7_1387434907529-DTU1MQYFFDG8BBNSHQV4_image.jpg	/assets/squarespace/content_v1_4fffa949e4b0b4590d67b4e7_1387434907529-DTU1MQYFFDG8BBNSHQV4_image.jpg	optimized 871468->404746 resize_intermediate=404746
local_archive_image	/squarespace_images/content_v1_4fffa949e4b0b4590d67b4e7_1389932887013-X36OZT1WYHDKQQFY3M3I_aptm-data.png_	/Users/jethrojones/jethro/to add to jethro site/squarespace_images/content_v1_4fffa949e4b0b4590d67b4e7_1389932887013-X36OZT1WYHDKQQFY3M3I_aptm-data.png	/assets/squarespace/content_v1_4fffa949e4b0b4590d67b4e7_1389932887013-X36OZT1WYHDKQQFY3M3I_aptm-data.png	optimized 99212->99212 resize_intermediate=99212
local_archive_image	/squarespace_images/content_v1_4fffa949e4b0b4590d67b4e7_1398921784924-VX3NYZ7QTV29BS87OEZ4_image-asset.png_	/Users/jethrojones/jethro/to add to jethro site/squarespace_images/content_v1_4fffa949e4b0b4590d67b4e7_1398921784924-VX3NYZ7QTV29BS87OEZ4_image-asset.png	/assets/squarespace/content_v1_4fffa949e4b0b4590d67b4e7_1398921784924-VX3NYZ7QTV29BS87OEZ4_image-asset.png	optimized 57035->57035 resize_intermediate=57035
local_archive_image	/squarespace_images/content_v1_4fffa949e4b0b4590d67b4e7_1398921829155-B5CIKEDVZW8MPL69TZ6P_image-asset.png_	/Users/jethrojones/jethro/to add to jethro site/squarespace_images/content_v1_4fffa949e4b0b4590d67b4e7_1398921829155-B5CIKEDVZW8MPL69TZ6P_image-asset.png	/assets/squarespace/content_v1_4fffa949e4b0b4590d67b4e7_1398921829155-B5CIKEDVZW8MPL69TZ6P_image-asset.png	optimized 113931->111387 resize_intermediate=113931
local_archive_image	/squarespace_images/content_v1_4fffa949e4b0b4590d67b4e7_1413008947690-6WY7N33GRL6V1Q0IMG9B_image.jpg_	/Users/jethrojones/jethro/to add to jethro site/squarespace_images/content_v1_4fffa949e4b0b4590d67b4e7_1413008947690-6WY7N33GRL6V1Q0IMG9B_image.jpg	/assets/squarespace/content_v1_4fffa949e4b0b4590d67b4e7_1413008947690-6WY7N33GRL6V1Q0IMG9B_image.jpg	optimized 1300345->695539 resize_intermediate=695539
local_archive_image	/squarespace_images/content_v1_4fffa949e4b0b4590d67b4e7_1415865632840-8YHKZHA9SWRT2EYGB047_image.jpg_	/Users/jethrojones/jethro/to add to jethro site/squarespace_images/content_v1_4fffa949e4b0b4590d67b4e7_1415865632840-8YHKZHA9SWRT2EYGB047_image.jpg	/assets/squarespace/content_v1_4fffa949e4b0b4590d67b4e7_1415865632840-8YHKZHA9SWRT2EYGB047_image.jpg	optimized 45484->45278 resize_intermediate=45484
local_archive_image	/squarespace_images/content_v1_4fffa949e4b0b4590d67b4e7_1416384980689-225ES31WXNWFWVLO0SSM_image.jpg_	/Users/jethrojones/jethro/to add to jethro site/squarespace_images/content_v1_4fffa949e4b0b4590d67b4e7_1416384980689-225ES31WXNWFWVLO0SSM_image.jpg	/assets/squarespace/content_v1_4fffa949e4b0b4590d67b4e7_1416384980689-225ES31WXNWFWVLO0SSM_image.jpg	optimized 148872->146263 resize_intermediate=148872
local_archive_image	/squarespace_images/content_v1_4fffa949e4b0b4590d67b4e7_1419193750079-EDX4U7P7LO04JUN9ES7M_image.jpg_	/Users/jethrojones/jethro/to add to jethro site/squarespace_images/content_v1_4fffa949e4b0b4590d67b4e7_1419193750079-EDX4U7P7LO04JUN9ES7M_image.jpg	/assets/squarespace/content_v1_4fffa949e4b0b4590d67b4e7_1419193750079-EDX4U7P7LO04JUN9ES7M_image.jpg	optimized 107445->105697 resize_intermediate=107445
local_archive_image	/squarespace_images/content_v1_4fffa949e4b0b4590d67b4e7_1423590648934-34U2HSP0WT321XXZJT9H_image-asset.jpeg_	/Users/jethrojones/jethro/to add to jethro site/squarespace_images/content_v1_4fffa949e4b0b4590d67b4e7_1423590648934-34U2HSP0WT321XXZJT9H_image-asset.jpeg	/assets/squarespace/content_v1_4fffa949e4b0b4590d67b4e7_1423590648934-34U2HSP0WT321XXZJT9H_image-asset.jpeg	optimized 57590->53842 resize_intermediate=57590
local_archive_image	/squarespace_images/content_v1_4fffa949e4b0b4590d67b4e7_1424598358530-406XIJZVPZO7NDN3GB3F_image-asset.jpeg_	/Users/jethrojones/jethro/to add to jethro site/squarespace_images/content_v1_4fffa949e4b0b4590d67b4e7_1424598358530-406XIJZVPZO7NDN3GB3F_image-asset.jpeg	/assets/squarespace/content_v1_4fffa949e4b0b4590d67b4e7_1424598358530-406XIJZVPZO7NDN3GB3F_image-asset.jpeg	optimized 68880->68880 resize_intermediate=68880
local_archive_image	/squarespace_images/content_v1_4fffa949e4b0b4590d67b4e7_1424598616855-J13C0ZMBYPDI9N1LC01I_IMG_6011.PNG_	/Users/jethrojones/jethro/to add to jethro site/squarespace_images/content_v1_4fffa949e4b0b4590d67b4e7_1424598616855-J13C0ZMBYPDI9N1LC01I_IMG_6011.PNG	/assets/squarespace/content_v1_4fffa949e4b0b4590d67b4e7_1424598616855-J13C0ZMBYPDI9N1LC01I_IMG_6011.PNG	optimized 806672->643981 resize_intermediate=806672
local_archive_image	/squarespace_images/content_v1_4fffa949e4b0b4590d67b4e7_1424598695860-CWTD30HNOXOBOGNPPUG8_image-asset.png_	/Users/jethrojones/jethro/to add to jethro site/squarespace_images/content_v1_4fffa949e4b0b4590d67b4e7_1424598695860-CWTD30HNOXOBOGNPPUG8_image-asset.png	/assets/squarespace/content_v1_4fffa949e4b0b4590d67b4e7_1424598695860-CWTD30HNOXOBOGNPPUG8_image-asset.png	optimized 828659->608320 resize_intermediate=828659
local_archive_image	/squarespace_images/content_v1_4fffa949e4b0b4590d67b4e7_1424598733147-33SUVTJZ6B6Z3KIJ02SL_image-asset.png_	/Users/jethrojones/jethro/to add to jethro site/squarespace_images/content_v1_4fffa949e4b0b4590d67b4e7_1424598733147-33SUVTJZ6B6Z3KIJ02SL_image-asset.png	/assets/squarespace/content_v1_4fffa949e4b0b4590d67b4e7_1424598733147-33SUVTJZ6B6Z3KIJ02SL_image-asset.png	optimized 619284->479224 resize_intermediate=619284
local_archive_image	/squarespace_images/content_v1_4fffa949e4b0b4590d67b4e7_1424598904512-B4SH1B7SVUMBXLKZU841_image-asset.jpeg_	/Users/jethrojones/jethro/to add to jethro site/squarespace_images/content_v1_4fffa949e4b0b4590d67b4e7_1424598904512-B4SH1B7SVUMBXLKZU841_image-asset.jpeg	/assets/squarespace/content_v1_4fffa949e4b0b4590d67b4e7_1424598904512-B4SH1B7SVUMBXLKZU841_image-asset.jpeg	optimized 149705->140989 resize_intermediate=149705
local_archive_image	/squarespace_images/content_v1_4fffa949e4b0b4590d67b4e7_1428652437069-FII9DT14QWI14NV490K4_image-asset.jpeg_	/Users/jethrojones/jethro/to add to jethro site/squarespace_images/content_v1_4fffa949e4b0b4590d67b4e7_1428652437069-FII9DT14QWI14NV490K4_image-asset.jpeg	/assets/squarespace/content_v1_4fffa949e4b0b4590d67b4e7_1428652437069-FII9DT14QWI14NV490K4_image-asset.jpeg	optimized 1171604->549851 resize_intermediate=549851
local_archive_image	/squarespace_images/content_v1_4fffa949e4b0b4590d67b4e7_1432051747076-NXKWQX5T20B8QLC6M3UU_image-asset.png_	/Users/jethrojones/jethro/to add to jethro site/squarespace_images/content_v1_4fffa949e4b0b4590d67b4e7_1432051747076-NXKWQX5T20B8QLC6M3UU_image-asset.png	/assets/squarespace/content_v1_4fffa949e4b0b4590d67b4e7_1432051747076-NXKWQX5T20B8QLC6M3UU_image-asset.png	optimized 272148->238245 resize_intermediate=272148
local_archive_image	/squarespace_images/content_v1_4fffa949e4b0b4590d67b4e7_1432051779087-OBTORRLLSILBWG95OEFZ_image-asset.png_	/Users/jethrojones/jethro/to add to jethro site/squarespace_images/content_v1_4fffa949e4b0b4590d67b4e7_1432051779087-OBTORRLLSILBWG95OEFZ_image-asset.png	/assets/squarespace/content_v1_4fffa949e4b0b4590d67b4e7_1432051779087-OBTORRLLSILBWG95OEFZ_image-asset.png	optimized 50064->50064 resize_intermediate=50064
local_archive_image	/squarespace_images/content_v1_4fffa949e4b0b4590d67b4e7_1432051836121-CNY8Z63IKS7L6ITRHIWD_IMG_6725.PNG_	/Users/jethrojones/jethro/to add to jethro site/squarespace_images/content_v1_4fffa949e4b0b4590d67b4e7_1432051836121-CNY8Z63IKS7L6ITRHIWD_IMG_6725.PNG	/assets/squarespace/content_v1_4fffa949e4b0b4590d67b4e7_1432051836121-CNY8Z63IKS7L6ITRHIWD_IMG_6725.PNG	optimized 323980->266941 resize_intermediate=323980
local_archive_image	/squarespace_images/content_v1_4fffa949e4b0b4590d67b4e7_1432052016771-O5EA8T8RKCL0DLJ48H2V_image-asset.png_	/Users/jethrojones/jethro/to add to jethro site/squarespace_images/content_v1_4fffa949e4b0b4590d67b4e7_1432052016771-O5EA8T8RKCL0DLJ48H2V_image-asset.png	/assets/squarespace/content_v1_4fffa949e4b0b4590d67b4e7_1432052016771-O5EA8T8RKCL0DLJ48H2V_image-asset.png	optimized 46452->46452 resize_intermediate=46452
local_archive_image	/squarespace_images/content_v1_4fffa949e4b0b4590d67b4e7_1432135334952-U6D1TDESQ93YZYQ3HG2F_image-asset.jpeg_	/Users/jethrojones/jethro/to add to jethro site/squarespace_images/content_v1_4fffa949e4b0b4590d67b4e7_1432135334952-U6D1TDESQ93YZYQ3HG2F_image-asset.jpeg	/assets/squarespace/content_v1_4fffa949e4b0b4590d67b4e7_1432135334952-U6D1TDESQ93YZYQ3HG2F_image-asset.jpeg	optimized 29186->23913 resize_intermediate=29186
local_archive_image	/squarespace_images/content_v1_4fffa949e4b0b4590d67b4e7_1432135380790-HZO8FCCSAWOU0W4E6QNJ_image-asset.jpeg_	/Users/jethrojones/jethro/to add to jethro site/squarespace_images/content_v1_4fffa949e4b0b4590d67b4e7_1432135380790-HZO8FCCSAWOU0W4E6QNJ_image-asset.jpeg	/assets/squarespace/content_v1_4fffa949e4b0b4590d67b4e7_1432135380790-HZO8FCCSAWOU0W4E6QNJ_image-asset.jpeg	optimized 19777->14301 resize_intermediate=19777
local_archive_image	/squarespace_images/content_v1_4fffa949e4b0b4590d67b4e7_1437465743519-CVWU8OWDAH4XBL92H5VF_image-asset.jpeg_	/Users/jethrojones/jethro/to add to jethro site/squarespace_images/content_v1_4fffa949e4b0b4590d67b4e7_1437465743519-CVWU8OWDAH4XBL92H5VF_image-asset.jpeg	/assets/squarespace/content_v1_4fffa949e4b0b4590d67b4e7_1437465743519-CVWU8OWDAH4XBL92H5VF_image-asset.jpeg	optimized 85260->83428 resize_intermediate=85260
local_archive_image	/squarespace_images/content_v1_4fffa949e4b0b4590d67b4e7_1485185461973-EJJ8GWT0ZX6TIS5I1K1R_IMG_3726-2-.JPG_	/Users/jethrojones/jethro/to add to jethro site/squarespace_images/content_v1_4fffa949e4b0b4590d67b4e7_1485185461973-EJJ8GWT0ZX6TIS5I1K1R_IMG_3726-2-.JPG	/assets/squarespace/content_v1_4fffa949e4b0b4590d67b4e7_1485185461973-EJJ8GWT0ZX6TIS5I1K1R_IMG_3726-2-.JPG	optimized 691411->672472 resize_intermediate=672472
local_archive_image	/squarespace_images/content_v1_4fffa949e4b0b4590d67b4e7_1488814229755-M866V9LSYVPS0DLCN41P_image-asset.png_	/Users/jethrojones/jethro/to add to jethro site/squarespace_images/content_v1_4fffa949e4b0b4590d67b4e7_1488814229755-M866V9LSYVPS0DLCN41P_image-asset.png	/assets/squarespace/content_v1_4fffa949e4b0b4590d67b4e7_1488814229755-M866V9LSYVPS0DLCN41P_image-asset.png	optimized 130455->130455 resize_intermediate=130455
